iter	Logloss
0	0.6866348903
1	0.6817250858
2	0.6761398041
3	0.6726967099
4	0.6681855662
5	0.6642892419
6	0.6600119399
7	0.6546769371
8	0.6488748326
9	0.6452118961
10	0.641654149
11	0.6364685504
12	0.6319842374
13	0.6273010874
14	0.6231324606
15	0.6198067915
16	0.6169220172
17	0.6129969049
18	0.6095507434
19	0.6054889385
20	0.602640262
21	0.5994512789
22	0.5965662379
23	0.5929139318
24	0.5895097379
25	0.5859362203
26	0.5827250892
27	0.579981445
28	0.5775936602
29	0.5746378591
30	0.5716949676
31	0.5692797328
32	0.5664025815
33	0.5642405069
34	0.5618738767
35	0.5580864
36	0.5547599328
37	0.5518473194
38	0.5486898399
39	0.5461360337
40	0.544329207
41	0.542076363
42	0.5401726223
43	0.5382910116
44	0.5358485347
45	0.5340947634
46	0.5319981746
47	0.5297496834
48	0.5270591367
49	0.5248404904
50	0.5224849513
51	0.5205971668
52	0.5185304128
53	0.5167429873
54	0.5150670126
55	0.5133499007
56	0.5114248101
57	0.5098764567
58	0.5083443878
59	0.5065905271
60	0.5050171535
61	0.5027643857
62	0.5004213141
63	0.4989265173
64	0.4969593928
65	0.4952119882
66	0.4939192998
67	0.4922951418
68	0.4906151955
69	0.4890697927
70	0.4875653263
71	0.4860538235
72	0.4843919174
73	0.4824515286
74	0.4809569748
75	0.4794063486
76	0.4779098075
77	0.4770033121
78	0.4753468693
79	0.4737886486
80	0.4723926198
81	0.4711687727
82	0.4701118821
83	0.4687379857
84	0.4672148159
85	0.4659905117
86	0.4643165433
87	0.4630830399
88	0.4617181054
89	0.4601975891
90	0.4586835877
91	0.4578985722
92	0.4569474005
93	0.4563854257
94	0.4550821986
95	0.4543183136
96	0.4536157848
97	0.4527844556
98	0.4518456846
99	0.4511865161
100	0.4502002323
101	0.4494494433
102	0.4484233381
103	0.4473346104
104	0.4461607522
105	0.444946671
106	0.444215637
107	0.4432166228
108	0.4422525054
109	0.4413291041
110	0.4406867494
111	0.4397878467
112	0.4391365774
113	0.4380605857
114	0.4370792635
115	0.4363739738
116	0.4356573928
117	0.4349446068
118	0.4343017348
119	0.4335938578
120	0.4329305823
121	0.4322370026
122	0.4313501107
123	0.4306708253
124	0.4299458071
125	0.4286079375
126	0.4281123112
127	0.4272410129
128	0.4268350008
129	0.425818356
130	0.4252507815
131	0.4241869494
132	0.4237057619
133	0.4230397143
134	0.4221405993
135	0.4216136397
136	0.4211466068
137	0.4202970936
138	0.419556142
139	0.4192100672
140	0.4186865275
141	0.418106033
142	0.4176055423
143	0.4166602873
144	0.4161128876
145	0.4155164813
146	0.4148518487
147	0.4143791044
148	0.4136814469
149	0.4130949044
150	0.4125765492
151	0.4117271929
152	0.411414514
153	0.4108973081
154	0.4100369775
155	0.4093875549
156	0.4088170622
157	0.4079380531
158	0.4074983586
159	0.4069411151
160	0.4064016754
161	0.4059182836
162	0.4052295256
163	0.4046001412
164	0.4041834764
165	0.4036971322
166	0.4030771856
167	0.4024016812
168	0.4016781899
169	0.4011682817
170	0.4007454489
171	0.4001070513
172	0.399518804
173	0.3990324975
174	0.3986993095
175	0.3982124441
176	0.3979183115
177	0.3971114285
178	0.3968064037
179	0.396174563
180	0.3957370055
181	0.3954117213
182	0.3950448764
183	0.3944532515
184	0.3938175218
185	0.393404814
186	0.3928353126
187	0.3924730441
188	0.3919155915
189	0.39134492
190	0.3910477366
191	0.3904225438
192	0.3900606086
193	0.3897537139
194	0.3892737638
195	0.3887840019
196	0.3882746983
197	0.3877177466
198	0.3873187184
199	0.3871036218
