iter	Logloss
0	0.6887346336
1	0.6850175983
2	0.6811709264
3	0.6767613381
4	0.6719976223
5	0.66791315
6	0.6636815617
7	0.6597820073
8	0.6559604651
9	0.6521361058
10	0.6477000515
11	0.6446803851
12	0.6409873206
13	0.6373780205
14	0.633704447
15	0.6305102872
16	0.6269316405
17	0.6239001147
18	0.6209786537
19	0.6184587316
20	0.6148117282
21	0.6118805746
22	0.6092634835
23	0.6053665863
24	0.6020799738
25	0.5995571013
26	0.5963744644
27	0.5934496645
28	0.5902796892
29	0.5868146386
30	0.5831234562
31	0.5802607706
32	0.5775151831
33	0.5755487578
34	0.5731804326
35	0.5705522768
36	0.5678456418
37	0.565450622
38	0.5627107912
39	0.5602081419
40	0.5574479607
41	0.5550363827
42	0.5523866563
43	0.550124931
44	0.5478594492
45	0.5455201579
46	0.5438425981
47	0.5417448743
48	0.5392326115
49	0.5370380008
50	0.5348546929
51	0.5331314107
52	0.5304833786
53	0.5287430232
54	0.5266617246
55	0.5244117432
56	0.5225794647
57	0.5207704025
58	0.5183625838
59	0.5163929772
60	0.5145874942
61	0.5132458628
62	0.5118585858
63	0.5101132314
64	0.5081583659
65	0.5065968978
66	0.5045967256
67	0.5028420611
68	0.5021061341
69	0.5008311942
70	0.4993804679
71	0.4977691736
72	0.496181478
73	0.4944523435
74	0.4926502018
75	0.4911379361
76	0.4893632478
77	0.4877736555
78	0.4864103553
79	0.4851435864
80	0.4838661218
81	0.4819675858
82	0.4806307533
83	0.4792698244
84	0.4779361561
85	0.4766029024
86	0.4756355362
87	0.4744886935
88	0.4730083226
89	0.4717456426
90	0.4702361449
91	0.468765544
92	0.4673069728
93	0.4664286761
94	0.4650588586
95	0.4637530383
96	0.4624443781
97	0.4610623442
98	0.4598694561
99	0.4588503188
100	0.4578791559
101	0.4567257854
102	0.455682225
103	0.4544818545
104	0.4531708351
105	0.4518477517
106	0.4508062786
107	0.4499988693
108	0.4487990471
109	0.4478862187
110	0.4466348739
111	0.4459606181
112	0.445157334
113	0.4439000308
114	0.4430706964
115	0.4422992124
116	0.4412891599
117	0.4399967449
118	0.4388652921
119	0.4380816517
120	0.4375390816
121	0.4367124723
122	0.436135861
123	0.4350977547
124	0.4342739006
125	0.4334406984
126	0.4327099285
127	0.4318978353
128	0.4309650819
129	0.4302711808
130	0.4295963425
131	0.4288476044
132	0.4281634296
133	0.4272510851
134	0.426446224
135	0.4257540625
136	0.4249688111
137	0.4242806481
138	0.4234213165
139	0.4226081906
140	0.4218137377
141	0.4208699226
142	0.420292388
143	0.419750065
144	0.4191728551
145	0.4185131892
146	0.4180818342
147	0.4171391322
148	0.4164895123
149	0.4159986327
150	0.4152357187
151	0.4146127484
152	0.4135082832
153	0.4127758348
154	0.4121003157
155	0.4114279328
156	0.4105726935
157	0.4102405554
158	0.4093353204
159	0.4087379482
160	0.4080138036
161	0.4074852801
162	0.4068472821
163	0.4060949943
164	0.4054115673
165	0.4048267861
166	0.4042086621
167	0.4035422137
168	0.4027924646
169	0.402087942
170	0.4017620903
171	0.4009065486
172	0.4001539284
