iter	Passed	Remaining
656	1228	641
657	1229	639
658	1231	637
659	1233	635
660	1234	633
661	1236	631
662	1237	629
663	1239	627
664	1240	625
665	1242	623
666	1244	621
667	1245	619
668	1247	617
669	1248	615
670	1250	613
671	1252	611
672	1254	609
673	1255	607
674	1257	605
675	1258	603
676	1260	601
677	1262	599
678	1263	597
679	1265	595
680	1266	593
681	1268	591
682	1269	589
683	1271	587
684	1272	585
685	1274	583
686	1275	581
687	1277	579
688	1278	577
689	1280	575
690	1281	573
691	1283	571
692	1284	569
693	1286	567
694	1288	565
695	1289	563
696	1291	561
697	1292	559
698	1294	557
699	1295	555
700	1297	553
701	1298	551
702	1300	549
703	1301	547
704	1303	545
705	1304	543
706	1306	541
707	1308	539
708	1309	537
709	1311	535
710	1312	533
711	1314	531
712	1315	529
713	1317	527
714	1318	525
715	1320	523
716	1322	521
717	1323	519
718	1325	517
719	1326	515
720	1328	514
721	1330	512
722	1331	510
723	1333	508
724	1334	506
725	1335	504
726	1337	502
727	1339	500
728	1340	498
729	1342	496
730	1344	494
731	1346	492
732	1348	491
733	1349	489
734	1351	487
735	1353	485
736	1355	483
737	1356	481
738	1358	479
739	1360	477
740	1361	476
741	1363	474
742	1365	472
743	1366	470
744	1368	468
745	1370	466
746	1371	464
747	1373	462
748	1374	460
749	1376	458
750	1377	456
751	1379	454
752	1381	453
753	1382	451
754	1384	449
755	1386	447
756	1388	445
757	1389	443
758	1391	441
759	1392	439
760	1394	437
761	1396	436
762	1397	434
763	1399	432
764	1401	430
765	1403	428
766	1404	426
767	1406	424
768	1407	422
769	1409	421
770	1411	419
771	1412	417
772	1414	415
773	1416	413
774	1418	411
775	1419	409
776	1420	407
777	1422	405
778	1424	403
779	1425	402
780	1427	400
781	1429	398
782	1431	396
783	1432	394
784	1434	392
785	1435	390
786	1437	388
787	1438	387
788	1440	385
789	1442	383
790	1443	381
791	1445	379
792	1447	377
793	1449	375
794	1450	374
795	1452	372
796	1454	370
797	1455	368
798	1457	366
799	1459	364
800	1461	363
801	1462	361
802	1464	359
803	1466	357
804	1467	355
805	1469	353
806	1471	351
807	1472	350
808	1474	348
809	1476	346
810	1478	344
811	1479	342
812	1481	340
813	1483	338
814	1484	337
815	1486	335
816	1487	333
817	1489	331
818	1491	329
819	1492	327
820	1494	325
821	1496	324
822	1499	322
823	1500	320
824	1502	318
825	1504	316
826	1506	315
827	1507	313
828	1509	311
829	1511	309
830	1513	307
831	1515	306
832	1517	304
833	1518	302
834	1520	300
835	1521	298
836	1523	296
837	1525	294
838	1528	293
839	1529	291
840	1531	289
841	1533	287
842	1534	285
843	1536	283
844	1537	282
845	1539	280
846	1541	278
847	1543	276
848	1545	274
849	1547	273
850	1548	271
851	1550	269
852	1552	267
853	1554	265
854	1557	264
855	1558	262
856	1560	260
857	1561	258
858	1563	256
859	1564	254
860	1566	252
861	1569	251
862	1571	249
863	1573	247
864	1574	245
865	1576	243
866	1577	242
867	1579	240
868	1580	238
869	1582	236
870	1585	234
871	1586	232
872	1588	231
873	1589	229
874	1591	227
875	1592	225
876	1594	223
877	1595	221
878	1597	219
879	1599	218
880	1600	216
881	1602	214
882	1604	212
883	1605	210
884	1607	208
885	1608	207
886	1610	205
887	1612	203
888	1613	201
889	1615	199
890	1616	197
891	1618	195
892	1619	194
893	1621	192
894	1622	190
895	1624	188
896	1625	186
897	1627	184
898	1628	182
899	1630	181
900	1631	179
901	1633	177
902	1634	175
903	1636	173
904	1637	171
905	1639	170
906	1641	168
907	1643	166
908	1644	164
909	1646	162
910	1647	160
911	1649	159
912	1650	157
913	1652	155
914	1653	153
915	1655	151
916	1657	149
917	1658	148
918	1660	146
919	1661	144
920	1663	142
921	1664	140
922	1666	139
923	1667	137
924	1669	135
925	1671	133
926	1672	131
927	1674	129
928	1676	128
929	1678	126
930	1679	124
931	1681	122
932	1683	120
933	1684	119
934	1686	117
935	1688	115
936	1689	113
937	1691	111
938	1693	109
939	1694	108
940	1696	106
941	1698	104
942	1699	102
943	1701	100
944	1703	99
945	1704	97
946	1706	95
947	1707	93
948	1709	91
949	1711	90
950	1713	88
951	1715	86
952	1716	84
953	1719	82
954	1720	81
955	1722	79
956	1723	77
957	1725	75
958	1726	73
959	1728	72
960	1729	70
961	1731	68
962	1733	66
963	1735	64
964	1736	62
965	1738	61
966	1739	59
967	1741	57
968	1742	55
969	1744	53
970	1747	52
971	1749	50
972	1751	48
973	1753	46
974	1754	44
975	1756	43
976	1757	41
977	1760	39
978	1762	37
979	1764	36
980	1765	34
981	1766	32
982	1768	30
983	1769	28
984	1771	26
985	1773	25
986	1775	23
987	1777	21
988	1779	19
989	1780	17
990	1782	16
991	1783	14
992	1785	12
993	1786	10
994	1789	8
995	1791	7
996	1792	5
997	1794	3
998	1795	1
999	1797	0
